founder_experience,market_timing,funding,team_size,success
1,1,1,2,1
1,1,1,1,1
0,1,0,0,0
1,0,1,2,0
0,1,1,1,1
1,1,0,0,1
0,0,0,0,0
1,1,1,2,1
0,1,1,2,1
1,0,0,0,0
0,0,1,1,0
1,1,1,1,1
1,0,1,2,1
0,1,0,0,0
1,1,1,2,1
0,0,0,0,0
1,1,0,1,1
0,1,1,1,1
1,0,1,1,0
0,0,0,0,0
1,1,1,2,1
1,1,1,1,1
0,1,0,0,0
1,0,0,0,0
0,1,1,2,1
1,1,1,2,1
0,0,1,1,0
1,1,0,1,1
0,0,0,0,0
1,0,1,2,1
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,2,1
0,1,0,0,0
1,0,1,1,0
0,0,1,1,0
1,1,0,0,1
0,1,1,2,1
1,1,1,2,1
0,0,0,0,0
1,0,0,0,0
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,2,1
0,1,0,0,0
1,0,1,2,1
0,0,1,1,0
1,1,0,1,1
0,1,1,2,1
1,1,1,2,1
0,0,0,0,0
1,0,1,1,0
0,1,1,1,1
1,1,0,0,1
0,0,0,0,0
1,1,1,1,1
0,1,1,2,1
1,0,0,0,0
0,0,1,1,0
1,1,1,2,1
1,0,1,2,1
0,1,0,0,0
1,1,1,2,1
0,0,0,0,0
1,1,0,1,1
0,1,1,1,1
1,0,1,1,0
0,0,0,0,0
1,1,1,2,1
1,1,1,1,1
0,1,0,0,0
1,0,0,0,0
0,1,1,2,1
1,1,1,2,1
0,0,1,1,0
1,1,0,1,1
0,0,0,0,0
1,0,1,2,1
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,2,1
0,1,0,0,0
1,0,1,1,0
0,0,1,1,0
1,1,0,0,1
0,1,1,2,1
1,1,1,2,1
0,0,0,0,0
1,0,0,0,0
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,2,1
0,1,0,0,0
1,0,1,2,1
0,0,1,1,0
1,1,0,1,1
0,1,1,2,1
1,1,1,2,1
0,0,0,0,0
1,0,1,1,0
0,1,1,1,1
1,1,0,0,1
0,0,0,0,0
1,1,1,1,1
0,1,1,2,1
1,0,0,0,0
0,0,1,1,0
1,1,1,2,1
1,0,1,2,1
0,1,0,0,0
1,1,1,2,1
0,0,0,0,0
1,1,0,1,1
0,1,1,1,1
1,0,1,1,0
0,0,0,0,0
1,1,1,2,1
1,1,1,1,1
0,1,0,0,0
1,0,0,0,0
0,1,1,2,1
1,1,1,2,1
0,0,1,1,0
1,1,0,1,1
0,0,0,0,0
1,0,1,2,1
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,2,1
0,1,0,0,0
1,0,1,1,0
0,0,1,1,0
1,1,0,0,1
0,1,1,2,1
1,1,1,2,1
0,0,0,0,0
1,0,0,0,0
0,1,1,1,1
1,1,1,1,1
0,0,0,0,0
